"name","unicode","bytes","emojiid","emoji","rencoding"
"hourglass","U+231B","\xE2\x8C\x9B",188,"⌛","<e2><8c><9b>"
"black right-pointing double triangle","U+23E9","\xE2\x8F\xA9",189,"⏩","<e2><8f><a9>"
"black left-pointing double triangle","U+23EA","\xE2\x8F\xAA",190,"⏪","<e2><8f><aa>"
"black up-pointing double triangle","U+23EB","\xE2\x8F\xAB",191,"⏫","<e2><8f><ab>"
"black down-pointing double triangle","U+23EC","\xE2\x8F\xAC",192,"⏬","<e2><8f><ac>"
"alarm clock","U+23F0","\xE2\x8F\xB0",193,"⏰","<e2><8f><b0>"
"hourglass with flowing sand","U+23F3","\xE2\x8F\xB3",194,"⏳","<e2><8f><b3>"
"black small square","U+25AA","\xE2\x96\xAA",195,"▪","<e2><96><aa>"
"white small square","U+25AB","\xE2\x96\xAB",196,"▫","<e2><96><ab>"
"black right-pointing triangle","U+25B6","\xE2\x96\xB6",197,"▶","<e2><96><b6>"
"black left-pointing triangle","U+25C0","\xE2\x97\x80",198,"◀","<e2><97><80>"
"white medium square","U+25FB","\xE2\x97\xBB",199,"◻","<e2><97><bb>"
"black medium square","U+25FC","\xE2\x97\xBC",200,"◼","<e2><97><bc>"
"white medium small square","U+25FD","\xE2\x97\xBD",201,"◽","<e2><97><bd>"
"black medium small square","U+25FE","\xE2\x97\xBE",202,"◾","<e2><97><be>"
"black sun with rays","U+2600","\xE2\x98\x80",203,"☀","<e2><98><80>"
"cloud","U+2601","\xE2\x98\x81",204,"☁","<e2><98><81>"
"black telephone","U+260E","\xE2\x98\x8E",205,"☎","<e2><98><8e>"
"ballot box with check","U+2611","\xE2\x98\x91",206,"☑","<e2><98><91>"
"umbrella with rain drops","U+2614","\xE2\x98\x94",207,"☔","<e2><98><94>"
"hot beverage","U+2615","\xE2\x98\x95",208,"☕","<e2><98><95>"
"white up pointing index","U+261D","\xE2\x98\x9D",209,"☝","<e2><98><9d>"
"white smiling face","U+263A","\xE2\x98\xBA",210,"☺","<e2><98><ba>"
"aries","U+2648","\xE2\x99\x88",211,"♈","<e2><99><88>"
"taurus","U+2649","\xE2\x99\x89",212,"♉","<e2><99><89>"
"gemini","U+264A","\xE2\x99\x8A",213,"♊","<e2><99><8a>"
"cancer","U+264B","\xE2\x99\x8B",214,"♋","<e2><99><8b>"
"leo","U+264C","\xE2\x99\x8C",215,"♌","<e2><99><8c>"
"virgo","U+264D","\xE2\x99\x8D",216,"♍","<e2><99><8d>"
"libra","U+264E","\xE2\x99\x8E",217,"♎","<e2><99><8e>"
"scorpius","U+264F","\xE2\x99\x8F",218,"♏","<e2><99><8f>"
